Product_Name, Pricing, Ratings 
Marvel Hasbro Legends Series Iron Man Mark 46| Captain America: Civil War Collectible 6 Inch Action Figures| Legends Actio...,₹6,093.06,4.7 out of 5 stars 351  
MOTU Masters of The Universe Masters of The Universe Masterverse Collection| 7-in Battle Figure - Skeletor for Storytellin...,₹999,4.7 out of 5 stars 1,700  50+ bought in past month
Marvel Legends Series Avengers Infinity War 6 inch Songbird,₹1,383,4.4 out of 5 stars 237  
Marvel Infinite Series Marvel's Chameleon,₹1,999,4.0 out of 5 stars 36  
MARVEL Legends Series Gamerverse 6-inch Collectible Mar-Vell Action Figure Toy| Ages 4 And Up,₹2,299,4.5 out of 5 stars 886  
Hasbro Marvel Legends Series Black Panther Legacy Collection| 6-inch Black Panther Collectible Figure and 3 Accessories F5...,₹4,837,4.8 out of 5 stars 1,115  
Marvel 6 Inch Legends Forces of Evil Whirlwind Action Figure (Build Red Skull),₹3,999,4.5 out of 5 stars 137  
Marvel Legends Series Kang The Conqueror| Ant-Man & The Wasp: Quantumania Collectible 6-Inch Action Figures| Ages 4 and Up,₹5,172.78,4.6 out of 5 stars 417  
Marvel Hasbro Legends Series Captain America| Captain America: The Winter Soldier Collectible 6 Inch Action Figures| Legen...,₹6,309,4.7 out of 5 stars 186  
Daiyamondo Premium Super Hero 20cm Height Action Figure- Unlease The Power of Highly Detailed Collectible with Dynamic Pos...,₹949,4.5 out of 5 stars 28  
Marvel X-men Action Figure (6 Inches| Multicolour),₹2,175,4.8 out of 5 stars 4,054  
Hasbro Marvel Legends Series Magneto X-Men '97" Inspired Marvel Legends 6" Action Figure,₹4,299,4.8 out of 5 stars 1,399  
Marvel Legends Series Loki 15-cm Retro Packaging Action Figure Toy| 3 Accessories,₹3,587.54,4.6 out of 5 stars 354  
Marvel Avengers Mech Strike Captain America 6-inch Scale Action Figure Toy Captain America with Compatible Mech Battle Acc...,₹1,379,N/A
Spider-man Marvel Legends Series Spider-Shot| Comics Collectible 6-Inch Action Figure,₹4,366.94,4.6 out of 5 stars 143  
Marvel Legends 3.75-inch Marvel’s Enchantress & Executioner 2-Pack,₹1,926,4.2 out of 5 stars 356  
Marvel Black Panther 6-in Basic Action Figure| Toys for Kids Ages 4 and up,₹449,4.0 out of 5 stars 15  200+ bought in past month
Marvel Spider-Man Mystery Web Gear Figure 6inch Thunder 6 Years & Above,₹1,198,Only 2 left in stock.
Marvel Avengers Marvel Action Figure (6 Inches| Multicolour),₹1,999,4.3 out of 5 stars 16,852  
Marvel Legends Series 6-inch Collectible Action Figure Stepford Cuckoos Toy| Premium Design and 5 Accessories,₹1,999,4.6 out of 5 stars 401  
Marvel Legends Series Gamerverse 6-Inch Collectible Ms. Marvel'S Action Figure Toy| Ages 4 And Up,₹1,999,4.4 out of 5 stars 1,184  
Marvel Hasbro Legends Series Iron Man Mark 46| Captain America: Civil War Collectible 6 Inch Action Figures| Legends Actio...,₹6,093.06,4.7 out of 5 stars 351  
MOTU Masters of The Universe Masters of The Universe Masterverse Collection| 7-in Battle Figure - Skeletor for Storytellin...,₹999,4.7 out of 5 stars 1,700  50+ bought in past month
Marvel Legends Series Avengers Infinity War 6 inch Songbird,₹1,383,4.4 out of 5 stars 237  
Marvel Infinite Series Marvel's Chameleon,₹1,999,4.0 out of 5 stars 36  
MARVEL Legends Series Gamerverse 6-inch Collectible Mar-Vell Action Figure Toy| Ages 4 And Up,₹2,299,4.5 out of 5 stars 886  
